ts,open,high,low,close,volume,datetime_utc
1735768800,1.0355,1.03586,1.03512,1.03568,1363.0,2025-01-01 22:00:00
1735772400,1.03568,1.03582,1.03465,1.03509,1985.0,2025-01-01 23:00:00
1735776000,1.0351,1.03566,1.03474,1.03522,2345.0,2025-01-02 00:00:00
1735779600,1.03522,1.0361,1.03439,1.03579,5114.0,2025-01-02 01:00:00
1735783200,1.0358,1.03714,1.03577,1.0371,2031.0,2025-01-02 02:00:00
1735786800,1.03712,1.03742,1.03682,1.03718,2150.0,2025-01-02 03:00:00
1735790400,1.03718,1.03759,1.03665,1.03693,1944.0,2025-01-02 04:00:00
1735794000,1.03694,1.03708,1.03618,1.03639,1681.0,2025-01-02 05:00:00
1735797600,1.03638,1.03652,1.036,1.03638,2804.0,2025-01-02 06:00:00
1735801200,1.03638,1.03724,1.03624,1.03629,5324.0,2025-01-02 07:00:00
1735804800,1.0363,1.0371,1.03464,1.0363,9983.0,2025-01-02 08:00:00
1735808400,1.0363,1.03706,1.03494,1.03518,7285.0,2025-01-02 09:00:00
1735812000,1.03516,1.0357,1.03138,1.03168,11329.0,2025-01-02 10:00:00
1735815600,1.03168,1.03342,1.03149,1.03324,8499.0,2025-01-02 11:00:00
1735819200,1.03323,1.03344,1.03148,1.03183,7852.0,2025-01-02 12:00:00
1735822800,1.03182,1.03298,1.03114,1.03135,14218.0,2025-01-02 13:00:00
1735826400,1.03134,1.0324,1.03022,1.03038,11598.0,2025-01-02 14:00:00
1735830000,1.03039,1.03089,1.02726,1.02742,16423.0,2025-01-02 15:00:00
1735833600,1.02742,1.02764,1.02241,1.02612,23372.0,2025-01-02 16:00:00
1735837200,1.02613,1.02682,1.02514,1.0265,10274.0,2025-01-02 17:00:00
1735840800,1.02652,1.02664,1.02558,1.02565,5835.0,2025-01-02 18:00:00
1735844400,1.02566,1.02596,1.02479,1.02512,4634.0,2025-01-02 19:00:00
1735848000,1.02513,1.02646,1.02508,1.02615,3261.0,2025-01-02 20:00:00
1735851600,1.02614,1.02688,1.02614,1.0267,1691.0,2025-01-02 21:00:00
1735855200,1.026,1.02672,1.026,1.02658,2221.0,2025-01-02 22:00:00
1735858800,1.0266,1.02682,1.02648,1.02677,1341.0,2025-01-02 23:00:00
1735862400,1.02678,1.02736,1.02659,1.0273,2002.0,2025-01-03 00:00:00
1735866000,1.0273,1.0273,1.02666,1.02675,3092.0,2025-01-03 01:00:00
1735869600,1.02674,1.02748,1.02668,1.02724,2878.0,2025-01-03 02:00:00
1735873200,1.02724,1.02745,1.02689,1.02708,2067.0,2025-01-03 03:00:00
1735876800,1.02707,1.0271,1.02672,1.02696,1736.0,2025-01-03 04:00:00
1735880400,1.02698,1.02736,1.02646,1.02718,2351.0,2025-01-03 05:00:00
1735884000,1.02719,1.02794,1.02716,1.02792,2136.0,2025-01-03 06:00:00
1735887600,1.02791,1.02849,1.02686,1.02809,9171.0,2025-01-03 07:00:00
1735891200,1.02808,1.02882,1.02728,1.02805,8066.0,2025-01-03 08:00:00
1735894800,1.02806,1.03001,1.02803,1.02903,7007.0,2025-01-03 09:00:00
1735898400,1.02902,1.02938,1.02792,1.02814,4884.0,2025-01-03 10:00:00
1735902000,1.02817,1.0303,1.02814,1.02974,5013.0,2025-01-03 11:00:00
1735905600,1.02973,1.0301,1.02942,1.02956,5582.0,2025-01-03 12:00:00
1735909200,1.02958,1.03002,1.02915,1.02932,6319.0,2025-01-03 13:00:00
1735912800,1.02931,1.03026,1.02879,1.03004,7491.0,2025-01-03 14:00:00
1735916400,1.03005,1.03059,1.02729,1.02892,14675.0,2025-01-03 15:00:00
1735920000,1.02891,1.02999,1.02835,1.02908,6922.0,2025-01-03 16:00:00
1735923600,1.02911,1.03058,1.0291,1.0298,6136.0,2025-01-03 17:00:00
1735927200,1.0298,1.03022,1.02926,1.02974,5098.0,2025-01-03 18:00:00
1735930800,1.02972,1.03062,1.02938,1.03013,4105.0,2025-01-03 19:00:00
1735934400,1.03012,1.03077,1.02988,1.0306,4087.0,2025-01-03 20:00:00
1735938000,1.03058,1.031,1.03048,1.0309,1568.0,2025-01-03 21:00:00
1736114400,1.03057,1.03074,1.02973,1.03022,876.0,2025-01-05 22:00:00
1736118000,1.03022,1.0308,1.03015,1.03052,1685.0,2025-01-05 23:00:00
1736121600,1.03054,1.03054,1.02956,1.03031,3527.0,2025-01-06 00:00:00
1736125200,1.0303,1.03136,1.03013,1.03124,4060.0,2025-01-06 01:00:00
1736128800,1.03123,1.0318,1.0311,1.03161,3621.0,2025-01-06 02:00:00
1736132400,1.03161,1.03184,1.03132,1.03165,2412.0,2025-01-06 03:00:00
1736136000,1.03162,1.03176,1.03129,1.03152,1539.0,2025-01-06 04:00:00
1736139600,1.03151,1.03182,1.03085,1.0309,2631.0,2025-01-06 05:00:00
1736143200,1.03089,1.03166,1.03078,1.03126,3308.0,2025-01-06 06:00:00
1736146800,1.03128,1.03284,1.03099,1.03274,5248.0,2025-01-06 07:00:00
1736150400,1.03275,1.03526,1.03266,1.03502,9566.0,2025-01-06 08:00:00
1736154000,1.03503,1.0369,1.03402,1.03555,12874.0,2025-01-06 09:00:00
1736157600,1.03556,1.03581,1.03351,1.03352,5971.0,2025-01-06 10:00:00
1736161200,1.0335,1.04328,1.03286,1.0422,26525.0,2025-01-06 11:00:00
1736164800,1.0422,1.04306,1.03922,1.04112,13787.0,2025-01-06 12:00:00
1736168400,1.04114,1.0437,1.04044,1.04168,17349.0,2025-01-06 13:00:00
1736172000,1.04168,1.04239,1.03525,1.03926,30348.0,2025-01-06 14:00:00
1736175600,1.03927,1.0399,1.03713,1.03936,19186.0,2025-01-06 15:00:00
1736179200,1.03937,1.0403,1.03854,1.03968,11091.0,2025-01-06 16:00:00
1736182800,1.03968,1.03969,1.03793,1.03875,6459.0,2025-01-06 17:00:00
1736186400,1.03877,1.03894,1.03772,1.0382,5777.0,2025-01-06 18:00:00
1736190000,1.0382,1.03918,1.0379,1.03885,5388.0,2025-01-06 19:00:00
1736193600,1.03884,1.03921,1.03859,1.03878,4196.0,2025-01-06 20:00:00
1736197200,1.0388,1.03924,1.03862,1.03901,2037.0,2025-01-06 21:00:00
1736200800,1.0385,1.03973,1.03843,1.039,1332.0,2025-01-06 22:00:00
1736204400,1.03899,1.0391,1.03818,1.03832,1182.0,2025-01-06 23:00:00
1736208000,1.03834,1.03855,1.03772,1.03844,3611.0,2025-01-07 00:00:00
1736211600,1.03842,1.03849,1.03762,1.03812,4721.0,2025-01-07 01:00:00
1736215200,1.03811,1.03854,1.038,1.03824,2726.0,2025-01-07 02:00:00
1736218800,1.03822,1.03931,1.03801,1.03929,2626.0,2025-01-07 03:00:00
1736222400,1.03928,1.03944,1.03904,1.03918,1787.0,2025-01-07 04:00:00
1736226000,1.03919,1.04034,1.0391,1.03968,2757.0,2025-01-07 05:00:00
1736229600,1.03968,1.04043,1.03963,1.03975,3894.0,2025-01-07 06:00:00
1736233200,1.03978,1.04246,1.03978,1.04148,9114.0,2025-01-07 07:00:00
1736236800,1.04146,1.04255,1.04032,1.04254,10759.0,2025-01-07 08:00:00
1736240400,1.04254,1.04345,1.04242,1.04278,7964.0,2025-01-07 09:00:00
1736244000,1.04276,1.04345,1.04166,1.0428,8224.0,2025-01-07 10:00:00
1736247600,1.0428,1.04284,1.0405,1.04136,6718.0,2025-01-07 11:00:00
1736251200,1.04136,1.04172,1.03874,1.03892,9565.0,2025-01-07 12:00:00
1736254800,1.03893,1.04053,1.03868,1.03966,9038.0,2025-01-07 13:00:00
1736258400,1.03966,1.03976,1.03894,1.03941,8717.0,2025-01-07 14:00:00
1736262000,1.03942,1.03942,1.03552,1.0373,20615.0,2025-01-07 15:00:00
1736265600,1.03728,1.03816,1.03626,1.03684,16026.0,2025-01-07 16:00:00
1736269200,1.03684,1.03739,1.03538,1.03671,10651.0,2025-01-07 17:00:00
1736272800,1.0367,1.03695,1.03494,1.03545,7136.0,2025-01-07 18:00:00
1736276400,1.03544,1.03598,1.03522,1.03552,4719.0,2025-01-07 19:00:00
1736280000,1.0355,1.03563,1.0344,1.03444,3830.0,2025-01-07 20:00:00
1736283600,1.0344,1.03443,1.03396,1.03404,1987.0,2025-01-07 21:00:00
1736287200,1.03425,1.03438,1.03398,1.03426,1044.0,2025-01-07 22:00:00
1736290800,1.03424,1.03452,1.03392,1.03416,1400.0,2025-01-07 23:00:00
1736294400,1.03417,1.03494,1.03417,1.03468,3567.0,2025-01-08 00:00:00
1736298000,1.03468,1.03531,1.03454,1.0353,3163.0,2025-01-08 01:00:00
1736301600,1.0353,1.03548,1.03514,1.03541,2119.0,2025-01-08 02:00:00
1736305200,1.0354,1.0354,1.03464,1.03478,1998.0,2025-01-08 03:00:00
1736308800,1.03476,1.0352,1.03475,1.03514,1791.0,2025-01-08 04:00:00
1736312400,1.03514,1.0356,1.03496,1.0355,2127.0,2025-01-08 05:00:00
1736316000,1.03551,1.03577,1.03462,1.03515,2689.0,2025-01-08 06:00:00
1736319600,1.03512,1.03517,1.03284,1.03324,8468.0,2025-01-08 07:00:00
1736323200,1.03324,1.03398,1.0318,1.03188,10592.0,2025-01-08 08:00:00
1736326800,1.03188,1.03264,1.03153,1.03196,9100.0,2025-01-08 09:00:00
1736330400,1.03195,1.03214,1.03102,1.0319,7504.0,2025-01-08 10:00:00
1736334000,1.03189,1.03199,1.02732,1.02978,17514.0,2025-01-08 11:00:00
1736337600,1.02978,1.03003,1.02808,1.02828,11695.0,2025-01-08 12:00:00
1736341200,1.02826,1.03045,1.02808,1.03035,20955.0,2025-01-08 13:00:00
1736344800,1.03036,1.03076,1.02891,1.02917,13192.0,2025-01-08 14:00:00
1736348400,1.02915,1.031,1.02915,1.03016,12573.0,2025-01-08 15:00:00
