ts,open,high,low,close,volume,datetime_utc
1775491980,1.15474,1.15475,1.15467,1.1547,86.0,2026-04-06 16:13:00
1775492040,1.15471,1.15476,1.15467,1.1547,88.0,2026-04-06 16:14:00
1775492100,1.15468,1.15471,1.1546,1.15464,66.0,2026-04-06 16:15:00
1775492160,1.15463,1.15466,1.15456,1.15462,89.0,2026-04-06 16:16:00
1775492220,1.15464,1.15466,1.1546,1.15464,47.0,2026-04-06 16:17:00
1775492280,1.15464,1.15467,1.1546,1.15462,35.0,2026-04-06 16:18:00
1775492340,1.1546,1.15462,1.15454,1.15458,66.0,2026-04-06 16:19:00
1775492400,1.15458,1.15458,1.15452,1.15454,31.0,2026-04-06 16:20:00
1775492460,1.15452,1.15458,1.15447,1.15448,53.0,2026-04-06 16:21:00
1775492520,1.15448,1.15448,1.15432,1.15432,55.0,2026-04-06 16:22:00
1775492580,1.15432,1.15441,1.15424,1.15438,72.0,2026-04-06 16:23:00
1775492640,1.15438,1.15442,1.15428,1.1543,99.0,2026-04-06 16:24:00
1775492700,1.15432,1.15452,1.15432,1.15452,44.0,2026-04-06 16:25:00
1775492760,1.15451,1.15453,1.15447,1.15447,54.0,2026-04-06 16:26:00
1775492820,1.15446,1.15452,1.15444,1.1545,57.0,2026-04-06 16:27:00
1775492880,1.15452,1.15464,1.15449,1.15464,62.0,2026-04-06 16:28:00
1775492940,1.15464,1.15464,1.1546,1.15464,62.0,2026-04-06 16:29:00
1775493000,1.15464,1.15464,1.15452,1.15453,56.0,2026-04-06 16:30:00
1775493060,1.15454,1.15454,1.15444,1.15449,81.0,2026-04-06 16:31:00
1775493120,1.1545,1.15452,1.1544,1.15447,92.0,2026-04-06 16:32:00
1775493180,1.15446,1.15446,1.15439,1.15442,59.0,2026-04-06 16:33:00
1775493240,1.15443,1.15454,1.15442,1.1545,71.0,2026-04-06 16:34:00
1775493300,1.15452,1.15459,1.15452,1.15458,29.0,2026-04-06 16:35:00
1775493360,1.15456,1.15456,1.15446,1.15453,79.0,2026-04-06 16:36:00
1775493420,1.15454,1.15464,1.15452,1.15464,34.0,2026-04-06 16:37:00
1775493480,1.15466,1.15476,1.15466,1.15472,85.0,2026-04-06 16:38:00
1775493540,1.15469,1.15472,1.1546,1.15464,76.0,2026-04-06 16:39:00
1775493600,1.15464,1.15464,1.15455,1.1546,59.0,2026-04-06 16:40:00
1775493660,1.15461,1.15468,1.1546,1.15467,76.0,2026-04-06 16:41:00
1775493720,1.15466,1.15482,1.15466,1.15481,93.0,2026-04-06 16:42:00
1775493780,1.15482,1.15482,1.15473,1.15474,69.0,2026-04-06 16:43:00
1775493840,1.15474,1.15478,1.15466,1.15466,62.0,2026-04-06 16:44:00
1775493900,1.15467,1.15468,1.15456,1.15459,87.0,2026-04-06 16:45:00
1775493960,1.15456,1.15458,1.15448,1.15457,77.0,2026-04-06 16:46:00
1775494020,1.15458,1.15458,1.15452,1.15453,63.0,2026-04-06 16:47:00
1775494080,1.15454,1.15456,1.15448,1.15452,113.0,2026-04-06 16:48:00
1775494140,1.15451,1.15466,1.1545,1.15464,68.0,2026-04-06 16:49:00
1775494200,1.15463,1.15465,1.1546,1.15464,37.0,2026-04-06 16:50:00
1775494260,1.15464,1.15473,1.15463,1.15472,77.0,2026-04-06 16:51:00
1775494320,1.15471,1.15473,1.15469,1.15472,51.0,2026-04-06 16:52:00
1775494380,1.15472,1.15478,1.15466,1.15468,55.0,2026-04-06 16:53:00
1775494440,1.1547,1.1547,1.15446,1.1545,285.0,2026-04-06 16:54:00
1775494500,1.1545,1.15457,1.15432,1.15455,340.0,2026-04-06 16:55:00
1775494560,1.15456,1.15456,1.15428,1.15436,255.0,2026-04-06 16:56:00
1775494620,1.15436,1.15448,1.1543,1.15433,163.0,2026-04-06 16:57:00
1775494680,1.15432,1.15446,1.15426,1.1544,189.0,2026-04-06 16:58:00
1775494740,1.1544,1.15456,1.1544,1.1545,91.0,2026-04-06 16:59:00
1775494800,1.15451,1.15451,1.15416,1.15423,185.0,2026-04-06 17:00:00
1775494860,1.15424,1.15424,1.15406,1.15408,268.0,2026-04-06 17:01:00
1775494920,1.15409,1.15416,1.15391,1.15394,208.0,2026-04-06 17:02:00
1775494980,1.15396,1.15404,1.15389,1.15398,150.0,2026-04-06 17:03:00
1775495040,1.15399,1.15404,1.15386,1.15392,196.0,2026-04-06 17:04:00
1775495100,1.15392,1.15394,1.15388,1.1539,107.0,2026-04-06 17:05:00
1775495160,1.1539,1.15392,1.1539,1.1539,42.0,2026-04-06 17:06:00
1775495220,1.15387,1.154,1.15387,1.15397,50.0,2026-04-06 17:07:00
1775495280,1.15398,1.15404,1.15387,1.15388,148.0,2026-04-06 17:08:00
1775495340,1.15388,1.15392,1.15362,1.15372,262.0,2026-04-06 17:09:00
1775495400,1.15373,1.15383,1.15358,1.15374,275.0,2026-04-06 17:10:00
1775495460,1.15376,1.15384,1.15374,1.15382,207.0,2026-04-06 17:11:00
1775495520,1.15382,1.1539,1.15358,1.15363,377.0,2026-04-06 17:12:00
1775495580,1.15364,1.15373,1.15358,1.15362,366.0,2026-04-06 17:13:00
1775495640,1.15362,1.15372,1.15352,1.15366,210.0,2026-04-06 17:14:00
1775495700,1.15368,1.15372,1.15342,1.15346,277.0,2026-04-06 17:15:00
1775495760,1.15344,1.15354,1.15343,1.15352,240.0,2026-04-06 17:16:00
1775495820,1.15354,1.15369,1.15354,1.15364,214.0,2026-04-06 17:17:00
1775495880,1.15364,1.1537,1.1536,1.15369,201.0,2026-04-06 17:18:00
1775495940,1.1537,1.15384,1.15368,1.15384,167.0,2026-04-06 17:19:00
1775496000,1.15384,1.1539,1.15376,1.15378,163.0,2026-04-06 17:20:00
1775496060,1.15377,1.15393,1.15376,1.15392,168.0,2026-04-06 17:21:00
1775496120,1.15392,1.15405,1.1539,1.15403,202.0,2026-04-06 17:22:00
1775496180,1.15402,1.15436,1.15402,1.15424,287.0,2026-04-06 17:23:00
1775496240,1.15424,1.1543,1.15419,1.15425,210.0,2026-04-06 17:24:00
1775496300,1.15425,1.15444,1.1542,1.1544,178.0,2026-04-06 17:25:00
1775496360,1.1544,1.15441,1.1542,1.15426,141.0,2026-04-06 17:26:00
1775496420,1.15426,1.15432,1.15424,1.15431,128.0,2026-04-06 17:27:00
1775496480,1.1543,1.15442,1.1543,1.15438,114.0,2026-04-06 17:28:00
1775496540,1.15438,1.15444,1.15433,1.15438,134.0,2026-04-06 17:29:00
1775496600,1.1544,1.1544,1.15432,1.15433,99.0,2026-04-06 17:30:00
1775496660,1.15432,1.15453,1.15432,1.1545,103.0,2026-04-06 17:31:00
1775496720,1.15448,1.15458,1.15445,1.15446,87.0,2026-04-06 17:32:00
1775496780,1.15446,1.15451,1.15444,1.1545,46.0,2026-04-06 17:33:00
1775496840,1.1545,1.15488,1.1544,1.15464,359.0,2026-04-06 17:34:00
1775496900,1.15463,1.15464,1.15444,1.15444,192.0,2026-04-06 17:35:00
1775496960,1.15444,1.15458,1.15444,1.15456,108.0,2026-04-06 17:36:00
1775497020,1.15455,1.15458,1.15443,1.15446,112.0,2026-04-06 17:37:00
1775497080,1.15444,1.15446,1.15437,1.1544,120.0,2026-04-06 17:38:00
1775497140,1.15441,1.1545,1.15439,1.15446,118.0,2026-04-06 17:39:00
1775497200,1.15444,1.15446,1.15436,1.15438,66.0,2026-04-06 17:40:00
1775497260,1.15438,1.15438,1.15416,1.15419,134.0,2026-04-06 17:41:00
1775497320,1.15418,1.15418,1.15408,1.15418,90.0,2026-04-06 17:42:00
1775497380,1.15417,1.15418,1.15408,1.15418,77.0,2026-04-06 17:43:00
1775497440,1.15419,1.1543,1.15418,1.15426,104.0,2026-04-06 17:44:00
1775497500,1.15424,1.15433,1.15422,1.15424,65.0,2026-04-06 17:45:00
1775497560,1.15424,1.15429,1.15422,1.15423,66.0,2026-04-06 17:46:00
1775497620,1.15422,1.15422,1.1541,1.15412,120.0,2026-04-06 17:47:00
1775497680,1.15412,1.15412,1.15402,1.15407,96.0,2026-04-06 17:48:00
1775497740,1.15408,1.15418,1.15406,1.15412,71.0,2026-04-06 17:49:00
1775497800,1.15412,1.15418,1.15412,1.15414,84.0,2026-04-06 17:50:00
1775497860,1.15413,1.15418,1.15412,1.15418,45.0,2026-04-06 17:51:00
1775497920,1.15416,1.15417,1.15409,1.15414,88.0,2026-04-06 17:52:00
1775497980,1.15414,1.1542,1.15413,1.15419,85.0,2026-04-06 17:53:00
1775498040,1.1542,1.15434,1.15419,1.15432,107.0,2026-04-06 17:54:00
1775498100,1.15434,1.15442,1.15433,1.15434,112.0,2026-04-06 17:55:00
1775498160,1.15433,1.15434,1.15426,1.15432,99.0,2026-04-06 17:56:00
1775498220,1.15432,1.15438,1.15426,1.15426,106.0,2026-04-06 17:57:00
1775498280,1.15424,1.15424,1.15418,1.15422,76.0,2026-04-06 17:58:00
1775498340,1.15422,1.15424,1.15414,1.15416,76.0,2026-04-06 17:59:00
1775498400,1.15416,1.15416,1.15399,1.15407,247.0,2026-04-06 18:00:00
1775498460,1.15406,1.15408,1.15396,1.15406,140.0,2026-04-06 18:01:00
1775498520,1.15406,1.15408,1.15402,1.15406,104.0,2026-04-06 18:02:00
1775498580,1.15406,1.15411,1.15403,1.1541,74.0,2026-04-06 18:03:00
1775498640,1.1541,1.15441,1.1541,1.15424,282.0,2026-04-06 18:04:00
1775498700,1.15424,1.15432,1.1542,1.15426,183.0,2026-04-06 18:05:00
1775498760,1.15426,1.15428,1.15417,1.1542,100.0,2026-04-06 18:06:00
1775498820,1.1542,1.1543,1.15419,1.15428,108.0,2026-04-06 18:07:00
1775498880,1.15429,1.15433,1.15426,1.1543,96.0,2026-04-06 18:08:00
1775498940,1.1543,1.15444,1.15428,1.15444,187.0,2026-04-06 18:09:00
1775499000,1.15444,1.1548,1.15444,1.15476,320.0,2026-04-06 18:10:00
1775499060,1.15475,1.15514,1.15471,1.1549,714.0,2026-04-06 18:11:00
1775499120,1.1549,1.15492,1.15481,1.15491,244.0,2026-04-06 18:12:00
1775499180,1.15492,1.15498,1.15478,1.1549,362.0,2026-04-06 18:13:00
1775499240,1.1549,1.1549,1.15468,1.15484,362.0,2026-04-06 18:14:00
1775499300,1.15484,1.15498,1.1548,1.15496,254.0,2026-04-06 18:15:00
1775499360,1.15498,1.15498,1.15482,1.15482,173.0,2026-04-06 18:16:00
1775499420,1.15482,1.15489,1.1548,1.15486,190.0,2026-04-06 18:17:00
1775499480,1.15486,1.15508,1.15486,1.15504,210.0,2026-04-06 18:18:00
1775499540,1.15505,1.15518,1.15504,1.1551,191.0,2026-04-06 18:19:00
1775499600,1.15506,1.15516,1.15504,1.15514,158.0,2026-04-06 18:20:00
1775499660,1.15514,1.15518,1.15508,1.15516,141.0,2026-04-06 18:21:00
1775499720,1.15516,1.15523,1.1551,1.15522,95.0,2026-04-06 18:22:00
1775499780,1.15522,1.15528,1.15513,1.15514,153.0,2026-04-06 18:23:00
1775499840,1.15512,1.15513,1.15498,1.15502,239.0,2026-04-06 18:24:00
1775499900,1.15502,1.15502,1.15487,1.15498,168.0,2026-04-06 18:25:00
1775499960,1.15498,1.15502,1.1549,1.1549,148.0,2026-04-06 18:26:00
1775500020,1.1549,1.1552,1.15488,1.15502,281.0,2026-04-06 18:27:00
1775500080,1.15504,1.15517,1.15504,1.15509,283.0,2026-04-06 18:28:00
1775500140,1.1551,1.15513,1.15504,1.15506,124.0,2026-04-06 18:29:00
1775500200,1.15506,1.15521,1.15505,1.15505,148.0,2026-04-06 18:30:00
1775500260,1.15506,1.15506,1.1549,1.15492,185.0,2026-04-06 18:31:00
1775500320,1.15494,1.15495,1.15474,1.15482,153.0,2026-04-06 18:32:00
1775500380,1.15482,1.15488,1.15477,1.15482,80.0,2026-04-06 18:33:00
1775500440,1.15484,1.15486,1.15476,1.15486,101.0,2026-04-06 18:34:00
1775500500,1.15488,1.15499,1.15488,1.15492,98.0,2026-04-06 18:35:00
1775500560,1.15492,1.15492,1.15481,1.15487,75.0,2026-04-06 18:36:00
1775500620,1.15487,1.15492,1.15477,1.15478,156.0,2026-04-06 18:37:00
1775500680,1.15478,1.15478,1.15466,1.15467,112.0,2026-04-06 18:38:00
1775500740,1.15464,1.15464,1.15451,1.15451,130.0,2026-04-06 18:39:00
1775500800,1.15452,1.15452,1.15446,1.15448,103.0,2026-04-06 18:40:00
1775500860,1.15448,1.15459,1.15446,1.15458,115.0,2026-04-06 18:41:00
1775500920,1.15458,1.15468,1.15453,1.15458,111.0,2026-04-06 18:42:00
1775500980,1.1546,1.1546,1.1545,1.15454,115.0,2026-04-06 18:43:00
1775501040,1.15454,1.15458,1.15448,1.15448,100.0,2026-04-06 18:44:00
1775501100,1.15448,1.15462,1.15446,1.15452,121.0,2026-04-06 18:45:00
1775501160,1.15453,1.15457,1.15438,1.15444,107.0,2026-04-06 18:46:00
1775501220,1.15441,1.15451,1.15441,1.15449,65.0,2026-04-06 18:47:00
1775501280,1.15446,1.15462,1.15446,1.15458,114.0,2026-04-06 18:48:00
1775501340,1.15459,1.1546,1.15448,1.15454,79.0,2026-04-06 18:49:00
1775501400,1.15454,1.1546,1.15454,1.15456,57.0,2026-04-06 18:50:00
1775501460,1.15458,1.15464,1.15454,1.15458,91.0,2026-04-06 18:51:00
1775501520,1.15459,1.15464,1.15458,1.1546,45.0,2026-04-06 18:52:00
1775501580,1.15462,1.15468,1.1546,1.15464,91.0,2026-04-06 18:53:00
1775501640,1.15464,1.15468,1.15456,1.15458,79.0,2026-04-06 18:54:00
1775501700,1.15458,1.15458,1.15448,1.1545,102.0,2026-04-06 18:55:00
1775501760,1.15451,1.15464,1.15451,1.15464,96.0,2026-04-06 18:56:00
1775501820,1.15464,1.15468,1.15452,1.15452,136.0,2026-04-06 18:57:00
1775501880,1.15452,1.15456,1.1545,1.15453,72.0,2026-04-06 18:58:00
1775501940,1.15452,1.1546,1.15452,1.15457,136.0,2026-04-06 18:59:00
1775502000,1.15458,1.15462,1.15442,1.15442,120.0,2026-04-06 19:00:00
1775502060,1.15442,1.15443,1.15435,1.15436,49.0,2026-04-06 19:01:00
1775502120,1.15436,1.15442,1.15434,1.1544,82.0,2026-04-06 19:02:00
1775502180,1.1544,1.15442,1.15436,1.15442,73.0,2026-04-06 19:03:00
1775502240,1.15443,1.15454,1.15442,1.15454,60.0,2026-04-06 19:04:00
